brand,series,model,fuel_type,gear_type,engine_cc,hp
Alfa Romeo,Gt,2.0 Jts Distinctive,Benzin,Manuel,1984.0,
Alfa Romeo,Gt,2.0 Jts Distinctive Selespeed,Benzin,Manuel,1984.0,
Alfa Romeo,159,1.9 Jtd Progression,Dizel,Manuel,,
Alfa Romeo,159,1.9 Jts Distinctive,Benzin,Manuel,,
Alfa Romeo,159,1.9 Jtd Distinctive,Dizel,Manuel,,
Alfa Romeo,159,1.9 Jtd Distinctive Ov,Dizel,Manuel,,
Alfa Romeo,Brera,2.2 Jts,Benzin,Manuel,2179.0,
Alfa Romeo,Brera,2.2 Jts Sky Window,Benzin,Manuel,2179.0,
Alfa Romeo,Brera,2.4 Jtd Sky Window,Dizel,Manuel,2393.0,
Alfa Romeo,Brera,3.2 V6 Q4,Benzin,Manuel,,
Alfa Romeo,Brera,3.2 V6 Q4 Sky Window,Benzin,Manuel,,
Alfa Romeo,147,1.6 5 Kapi Progression (105),Benzin,Manuel,1598.0,
Alfa Romeo,147,1.6 3 Kapi Progression (105),Benzin,Manuel,1598.0,
Alfa Romeo,147,1.6 5 Colleizone (120),Benzin,Manuel,1598.0,
Alfa Romeo,147,2.0 5 Kapi Selespeed Blackline,Benzin,Manuel,1984.0,
Alfa Romeo,147,1.6 5 Kapi Distinctive (105),Benzin,Manuel,1598.0,
Alfa Romeo,159,1.9 Jtd Progression Q-Tronic,Dizel,Otomatik,,
Alfa Romeo,159,1.9 Jtd Distinctive Q-Tronic,Dizel,Otomatik,,
Alfa Romeo,147,1.9 Jtd Q2,Dizel,Manuel,,
Alfa Romeo,159,1.8 Mpi Distinctive,Benzin,Manuel,1798.0,
Alfa Romeo,159,1.8 Mpi Distinctive Plus,Benzin,Manuel,1798.0,
Alfa Romeo,159,1.9 Jts Distinctive Plus,Benzin,Manuel,,
Alfa Romeo,159,1.9 Jtd Distinctive Plus,Dizel,Manuel,,
Alfa Romeo,159,1.9 Jtd Distinctive Plus Q-Tronic,Dizel,Otomatik,,
Alfa Romeo,159,1.9 Jtd Distinctive Q-Tronic Sportsw,Dizel,Otomatik,,
Alfa Romeo,159,1.8 Mpi Distinctive Plus Sportswagon,Benzin,Manuel,1798.0,
Alfa Romeo,159,1.9 Jtd Distinctive Plus Sportswagon,Dizel,Manuel,,
Alfa Romeo,159,1.9 Jtd D.Ctive Plus Q-Tronic Sports,Dizel,Otomatik,,
Alfa Romeo,Brera,3.2 V6 Q4 Q-Tronic,Benzin,Otomatik,,
Alfa Romeo,Mito,1.4 (78) Junior 3 Kapi,Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.4 Tb (155) Progression 3 Kapi,Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.4 Tb (155) Distinctive 3 Kapi,Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.6 Jtd (120) Progression 3 Kapi,Dizel,Manuel,1598.0,
Alfa Romeo,Mito,1.6 Jtd (120) Distinctive 3 Kapi,Dizel,Manuel,1598.0,
Alfa Romeo,159,1.9 Jtd (150) New Distinctive Plus,Dizel,Manuel,,
Alfa Romeo,159,1.9 Jtd (150) New D.Tive Plus Q-Tron,Dizel,Manuel,,
Alfa Romeo,159,1.8 Tbi (200) New Distinctive Plus,Benzin,Manuel,1798.0,
Alfa Romeo,Mito,1.4 Tb Multiair 170 Quad.Verde 3K,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.4 Tb 120 Progression Plus,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.4 Tb 120 Distinctive,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.4 Tb Multiair 170 Distinctive,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.6 Jtd 105 Progression Plus,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.6 Jtd 105 Distinctive,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.750 Tb 235 Quagrifoglio Verde,Benzin,Manuel,,
Alfa Romeo,Mito,1.4 Tb Multiair 135 Dis.Tive Tct 3 K,Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.4 Tb Multiair (135) Tct City,Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.4 Tb Multiair (135) Tct Sportivo,Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.4 Tb Multiar (135) Tct,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.4 Tb M.Air 170 Tct Prog.Plu,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.4 Tb M.Air 170 Tct Distinctive,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.4 Tb Multiair (170),Benzin,Manuel,1395.0,
Alfa Romeo,Mito,1.3 Jtd (95) City,Dizel,Manuel,1332.0,
Alfa Romeo,4C,Launch Edition 1.750 Tb 240 Tct,Benzin,Manuel,,
Alfa Romeo,Giulietta,1.8 Tbi 240 Tct Qv,Benzin,Manuel,1798.0,
Alfa Romeo,Mito,1.3 Jtd (85) City,Dizel,Manuel,1332.0,
Alfa Romeo,Mito,1.4 170 3 Kapi Qv Tct S2,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.6 Jtd 120 Progression,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.6 Jtdm 120 Progression Tct,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.6 Jtdm 120 Super Tct,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.4 Tb Multiair 170 Super Tct,Benzin,Manuel,1395.0,
Alfa Romeo,Giulietta,1.8 Tbi 240 Veloce Tct,Benzin,Manuel,1798.0,
Alfa Romeo,4C,1.8 240 Tct,Benzin,Manuel,1798.0,
Alfa Romeo,4C,Spider 1.8 240 Tct,Benzin,Manuel,1798.0,
Alfa Romeo,Giulietta,1.6 Jtd 120 Super,Dizel,Manuel,1598.0,
Alfa Romeo,Giulia,2.0 200 Super Rwd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Giulia,2.0 280 Veloce Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Giulia,2.9 510 Qv Rwd At,Benzin,Otomatik,,
Alfa Romeo,Stelvio,2.0 280 Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Giulia,2.0 200 Sprint Rwd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Stelvio,2.0 200 Sprint Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Stelvio,2.0 280 Veloce Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Giulietta,1.6 Jtd 120 Sprint Tct,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.6 Jtd 120 Ti Tct,Dizel,Manuel,1598.0,
Alfa Romeo,Giulietta,1.6 Jtd Tct,Dizel,Manuel,1598.0,
Alfa Romeo,Stevio,Quadrifoglio 2.9 (510),Benzin,Manuel,,
Alfa Romeo,Tonale,Edizione Speciale 1.5 Hybrid 160 Dct,Hibrit,Otomatik,1498.0,
Alfa Romeo,Giulia,2.0 280 Estrema Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Stelvio,2.0 280 Estrema Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Tonale,Ti 1.6 Diesel 130 Dct,Benzin,Otomatik,1598.0,
Alfa Romeo,Tonale,Sprint 1.6 Diesel 130 Dct,Benzin,Otomatik,1598.0,
Alfa Romeo,Tonale,Ti 1.5 Hybrid 160 Tct,Hibrit,Manuel,1498.0,
Alfa Romeo,Tonale,Veloce 1.5 Hybrid 160 Tct,Hibrit,Manuel,1498.0,
Alfa Romeo,Giulia,2.0 280 Lusso Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Stelvio,2.0 280 Lusso Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Giulia,Mca 2.0 280 Competizione Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Giulia,Mca 2.0 280 Veloce Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Stelvio,Mca 2.0 280 Veloce Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Stelvio,Mca 2.0 280 Competizione Awd At,Benzin,Otomatik,1984.0,
Alfa Romeo,Tonale,Veloce 1.3 280 Plug-In Hybrid Eawd,Hibrit,Manuel,1332.0,
Alfa Romeo,Giulia,2.9 520 Qv Rwd At,Benzin,Otomatik,,
Alfa Romeo,Stelvio,2.9 520 Qv Awd At,Benzin,Otomatik,,
Alfa Romeo,Tonale,Speciale 1.6 Diesel 130 Dct,Benzin,Otomatik,1598.0,
Alfa Romeo,Tonale,Speciale 1.5 Vgt 160 Hybrid Tct,Hibrit,Manuel,1498.0,
Alfa Romeo,Tonale,Tributo 1.5 Vgt 160 Hybrid Tct,Hibrit,Manuel,1498.0,
